OTUID	Sg.M.HC.1.16S	Sg.M.HC.2.16S	Sg.M.HC.3.16S	Sg.M.HC.10.16S	Sg.M.HC.4.16S	Sg.M.HC.5.16S	Sg.M.HC.6.16S	Sg.M.HC.7.16S	Sg.M.HC.8.16S	Sg.M.HC.9.16S	Sg.M.R.1.16S	Sg.M.R.2.16S	Sg.M.R.3.16S	Sg.M.R.10.16S	Sg.M.R.4.16S	Sg.M.R.5.16S	Sg.M.R.6.16S	Sg.M.R.7.16S	Sg.M.R.8.16S	Sg.M.R.9.16S
c8c201cf669c528f272fad7379a025bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	19	0
fafa4ce975c89cd56e144a9c9fef87de	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	7	0	0	0	0
e793a5b73b02b30aedfde40dc3a182f1	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
8dd8bc46e5dccd1cd39ec5888b89d715	0	0	0	0	0	0	0	0	0	0	0	17	12	28	0	0	0	67	0	12
6a73f683bf96f4ffdd3daca8375c29f9	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
24a0a132d22a3a27285f59c0f1aafa4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
b2ffd37f3c9fe137a46985d36ea7c053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
794393090cfb64ff965da40aae51f9d5	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
2e3f176ae8c669fe89c79b560b1c3189	0	38	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
8fc3f24e0886fc6e560f4f1d9d160d0a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0
88ab2cd29ffd1301e72c8be1e99cab8b	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
fb3d50dfbf4f31a0e858d084f82adc99	0	0	0	0	0	0	0	0	0	0	0	10	0	40	0	36	32	44	0	0
edc67762ad04bac62d7de872b214bbe7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728
090a3fbe82832d8232730978a315fd83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0
146ccc7623ff3aa720c05d61125a6bc9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0
e6d9fe4bfdd2114788308701911d6a9e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
f0e5d2a5bde61e4bcd25ea452859514d	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0
7575b9d44ae9b9f482ba28f093027879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c60cf2a6c2498f32af660492f7517918	0	68	20	0	0	0	0	0	0	0	26	249	28	122	0	0	851	0	17	1328
2356e68432cd80eea65bbce2264e04eb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0
526f6d5fa8c65ba7141c0b768195a0a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f30fcff7aa05e31a64283dcf83b7ddd8	0	0	0	0	0	0	0	0	0	0	30	152	20	0	0	0	51	0	49	0
706eee6d9933a74492d0f228c5adbaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bab4bde0b1dcb8e6d0a09f39951077b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
522fe79f191b161734f6dae66246dd0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
4d2db3d4a09e65b6385a74e2105c5097	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
dc483423b4652f68eb84087d99ba412e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071c6331257e5c2840dc073af3f1139e	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	130	132	160	70	0
d0557af7bb5178c8f3aff798c76c1eff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
e541825ce8b86c18c3108e8dc20a1675	0	0	16	67	0	0	35	0	0	0	0	241	213	1630	0	685	264	0	0	1938
aa40ba3a550577ed8b40f150d7f294f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
e5c57220db542d1fa35c9e7cf1105a74	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	30	0	0	0	0
48eba04a4c6ea4f83699ebdc7a48b4dd	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	51	0	13	0
e46b9ceb4c692b5d087a7e8737974fff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
3ccb3cc712e0db60d7f9b06bde056a8a	0	35	0	0	0	0	3	0	0	0	32	29	0	70	0	194	132	387	77	106
c7dc02034f3a4aa4d0f188e420424dfd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
32019c66790172c71844e2b0a681de98	0	32	0	0	0	0	33	0	0	0	34	0	30	0	37	75	196	0	104	636
fc4dbb5563efee17a16dd24301702476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
081cdd12fa6dab662d2b72a582d9b761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
a0e49f9a268a20eb99117bca0a5d0866	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	18	0	30	30	77
dfefd1601becbc23d361edaeaacc9b13	0	19	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
1de7c6a74da34f1ec346a5e8f25da477	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
5f74826a74efebf84afc4df43c06cc01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0
81241964eac9be7a72797115e06e8baa	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	29	0
cf0528bcf467f1a764ed7caa97055979	0	0	0	0	0	0	0	0	0	0	0	0	0	27	36	32	0	0	0	0
e902a45db3100596435e526a0295478d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	640	0	0
4096d6766b0fdcbaf2b2aa5ceed02cd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0
16c4c6dcf8f6aecc742df79b207beae8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc4c2db62ffa3b2bd91450e6c3d09bbf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee3ec613cfcb6e74ad505dc202277eea	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	78	202	0	0	0
c6c3749b461fefb9e7e3625da56d010c	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
09ccb9ce8dcc7f7b4f60331015f97686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
0a55ab9827a6d0ebc61bbb4c07ec938c	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	190
bcfcb507786172504987dcf47044c277	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
e1ec861fd4fde5be3b1c9e36ebc29cb0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
50fe6207dec5ee65a8e668d944b6faf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618b07d29ecdd57b808504bd3f5a6c83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0
a9ce14730af6a3bbc15775ac5f539395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
6570dcebd18a2a63e61890541d762546	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
d80afeb9fb89348e68fc6d03757da525	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	30	0	0	0
e9092302fb26b621ea095437eec21557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
583229f07ecffe26f713680165a7d577	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	22	0	0	13	12
95d5c26e5a939615d46e26659e68afcb	0	52	20	16	0	0	43	0	0	0	22	496	201	213	0	351	778	13	176	210
c82870cd9d4730bc71f54e84a677293a	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	14	0
