index,Phylum,Stomach,Feces,,,
Sg.M.E.1.16S,Firmicutes,5.30784937,5.824368969,,,
Sg.M.E.1.16S,Bacteroidota,5.622560115,6.37515244,,,
Sg.M.E.1.16S,Proteobacteria,4.949215561,4.881491804,,,
Sg.M.E.1.16S,Desulfobacterota,2.40368429,2.06114865,,,
Sg.M.E.1.16S,Actinobacteriota,-1.567944594,-2.184331557,,,
Sg.M.E.1.16S,Cyanobacteria,-1.919953985,2.103708265,,,
Sg.M.E.1.16S,Campilobacterota,4.195443759,-2.197543253,,,
Sg.M.E.1.16S,Verrucomicrobiota,1.710537109,3.068789161,,,
Sg.M.E.1.16S,Unassaigned,-2.889406382,-2.697254595,,,
Sg.M.E.1.16S,Spirochaetota,-6.581020092,-6.388868305,,,
Sg.M.E.2.16S,Firmicutes,5.91971647,6.765374538,,, 
Sg.M.E.2.16S,Bacteroidota,5.801933435,6.224734651,,,
Sg.M.E.2.16S,Proteobacteria,5.280636511,4.771950549,,,
Sg.M.E.2.16S,Desulfobacterota,1.213006177,2.299466419,,,
Sg.M.E.2.16S,Actinobacteriota,-0.9766481,-2.106356439,,,
Sg.M.E.2.16S,Cyanobacteria,-1.328657491,-2.106192019,,,
Sg.M.E.2.16S,Campilobacterota,1.212999845,2.299466419,,,
Sg.M.E.2.16S,Verrucomicrobiota,1.213218798,2.222505378,,,
Sg.M.E.2.16S,Unassaigned,-2.298109887,-2.806795849,,,
Sg.M.E.2.16S,Spirochaetota,-5.989723597,-6.49840956,,,
Sg.M.E.3.16S,Firmicutes,7.429439316,8.138968735,,,
Sg.M.E.3.16S,Bacteroidota,7.172443054,7.226730693,,,
Sg.M.E.3.16S,Proteobacteria,5.200557419,3.993598008,,,
Sg.M.E.3.16S,Desulfobacterota,0.439779904,2.814943011,,,
Sg.M.E.3.16S,Actinobacteriota,-1.056727192,-2.263686603,,,
Sg.M.E.3.16S,Cyanobacteria,-1.408736583,-2.615695994,,,
Sg.M.E.3.16S,Campilobacterota,0.439773572,1.716330723,,,
Sg.M.E.3.16S,Verrucomicrobiota,0.439992525,4.473171088,,,
Sg.M.E.3.16S,Unassaigned,-2.378188979,-3.58514839,,,
Sg.M.E.3.16S,Spirochaetota,-6.06980269,-7.276762101,,,
Sg.M.H.1.16S,Firmicutes,6.648105164,6.738197162,,,
Sg.M.H.1.16S,Bacteroidota,6.720093295,6.398046702,,,
Sg.M.H.1.16S,Proteobacteria,3.530064961,6.249439888,,,
Sg.M.H.1.16S,Desulfobacterota,2.46160571,3.500309661,,,
Sg.M.H.1.16S,Actinobacteriota,-0.074073265,-3.123105077,,,
Sg.M.H.1.16S,Cyanobacteria,0.331391843,-3.122940657,,,
Sg.M.H.1.16S,Campilobacterota,-3.276712494,-3.136316772,,,
Sg.M.H.1.16S,Verrucomicrobiota,3.491932091,3.646363131,,,
Sg.M.H.1.16S,Unassaigned,1.457403106,-3.093436415,,,
Sg.M.H.1.16S,Spirochaetota,-7.740295148,-5.290389841,,,
Sg.M.H.2.16S,Firmicutes,6.008011826,7.047881053,,,
Sg.M.H.2.16S,Bacteroidota,5.504908249,5.188667282,,,
Sg.M.H.2.16S,Proteobacteria,10.08155585,7.027375491,,,
Sg.M.H.2.16S,Desulfobacterota,2.246811711,4.031786085,,,
Sg.M.H.2.16S,Actinobacteriota,-1.060398858,0.81291026,,,
Sg.M.H.2.16S,Cyanobacteria,-1.522462187,-2.935968641,,,
Sg.M.H.2.16S,Campilobacterota,-1.073610554,-2.949344756,,,
Sg.M.H.2.16S,Verrucomicrobiota,-1.073391601,2.251390375,,,
Sg.M.H.2.16S,Unassaigned,-2.491914584,-2.9064644,,,
Sg.M.H.2.16S,Spirochaetota,-6.183528294,-6.499769261,,,
Sg.M.H.3.16S,Firmicutes,7.928129033,8.58672563,,,
Sg.M.H.3.16S,Bacteroidota,4.807711194,7.947492214,,,
Sg.M.H.3.16S,Proteobacteria,6.107584323,4.168079367,,,
Sg.M.H.3.16S,Desulfobacterota,0.86937088,4.109971736,,,
Sg.M.H.3.16S,Actinobacteriota,2.478808793,-1.76218819,,,
