q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp,DT,Non_lethal,Turnover
0,Sg.M.E.10.16S,Sg.M.H.10.16S,1.344827586,0.655172414,0.487179487,0.487179487,0.655172414,Stomach,Feces,0.344827586
1,Sg.M.E.10.16S,Sg.M.H.10.16S,1.189186707,0.750024758,0.750024758,0.681821692,0.810813293,Stomach,Feces,0.189186707
2,Sg.M.E.10.16S,Sg.M.H.10.16S,1.187510798,0.684195212,0.812489202,0.684195212,0.812489202,Stomach,Feces,0.187510798
0,Sg.M.I.10.16S,Sg.M.H.10.16S,1.356521739,0.643478261,0.474358974,0.474358974,0.643478261,Intestine,Feces,0.356521739
1,Sg.M.I.10.16S,Sg.M.H.10.16S,1.217873199,0.715636068,0.715636068,0.642207088,0.782126801,Intestine,Feces,0.217873199
2,Sg.M.I.10.16S,Sg.M.H.10.16S,1.228782779,0.627626977,0.771217221,0.627626977,0.771217221,Intestine,Feces,0.228782779
0,Sg.M.R.10.16S,Sg.M.H.10.16S,1.421524664,0.578475336,0.406940063,0.406940063,0.578475336,Rectum,Feces,0.421524664
1,Sg.M.R.10.16S,Sg.M.H.10.16S,1.324044274,0.595048635,0.595048635,0.510523506,0.675955726,Rectum,Feces,0.324044274
2,Sg.M.R.10.16S,Sg.M.H.10.16S,1.38768678,0.441247426,0.61231322,0.441247426,0.61231322,Rectum,Feces,0.38768678
0,Sg.M.E.4.16S,Sg.M.H.4.16S,1.758389262,0.241610738,0.13740458,0.13740458,0.241610738,Stomach,Feces,0.758389262
1,Sg.M.E.4.16S,Sg.M.H.4.16S,1.922166041,0.057267035,0.057267035,0.040492839,0.077833959,Stomach,Feces,0.922166041
2,Sg.M.E.4.16S,Sg.M.H.4.16S,1.993794393,0.003112461,0.006205607,0.003112461,0.006205607,Stomach,Feces,0.993794393
0,Sg.M.I.4.16S,Sg.M.H.4.16S,1.909090909,0.090909091,0.047619048,0.047619048,0.090909091,Intestine,Feces,0.909090909
1,Sg.M.I.4.16S,Sg.M.H.4.16S,1.967316792,0.02377071,0.02377071,0.016613089,0.032683208,Intestine,Feces,0.967316792
2,Sg.M.I.4.16S,Sg.M.H.4.16S,1.997418739,0.001292298,0.002581261,0.001292298,0.002581261,Intestine,Feces,0.997418739
0,Sg.M.R.4.16S,Sg.M.H.4.16S,1.589403974,0.410596026,0.258333333,0.258333333,0.410596026,Rectum,Feces,0.589403974
1,Sg.M.R.4.16S,Sg.M.H.4.16S,1.262536005,0.663675469,0.663675469,0.584113239,0.737463995,Rectum,Feces,0.262536005
2,Sg.M.R.4.16S,Sg.M.H.4.16S,1.219922267,0.639448721,0.780077733,0.639448721,0.780077733,Rectum,Feces,0.219922267
0,Sg.M.E.5.16S,Sg.M.H.5.16S,1.8125,0.1875,0.103448276,0.103448276,0.1875,Stomach,Feces,0.8125
1,Sg.M.E.5.16S,Sg.M.H.5.16S,1.876949178,0.091610413,0.091610413,0.065558953,0.123050822,Stomach,Feces,0.876949178
2,Sg.M.E.5.16S,Sg.M.H.5.16S,1.957303671,0.02181385,0.042696329,0.02181385,0.042696329,Stomach,Feces,0.957303671
0,Sg.M.I.5.16S,Sg.M.H.5.16S,1.301775148,0.698224852,0.536363636,0.536363636,0.698224852,Intestine,Feces,0.301775148
1,Sg.M.I.5.16S,Sg.M.H.5.16S,1.108664436,0.851177235,0.851177235,0.803972361,0.891335564,Intestine,Feces,0.108664436
2,Sg.M.I.5.16S,Sg.M.H.5.16S,1.111643807,0.799137446,0.888356193,0.799137446,0.888356193,Intestine,Feces,0.111643807
0,Sg.M.R.5.16S,Sg.M.H.5.16S,1.286746988,0.713253012,0.554307116,0.554307116,0.713253012,Rectum,Feces,0.286746988
1,Sg.M.R.5.16S,Sg.M.H.5.16S,1.128861926,0.825130963,0.825130963,0.77169586,0.871138074,Rectum,Feces,0.128861926
2,Sg.M.R.5.16S,Sg.M.H.5.16S,1.060205592,0.886426571,0.939794408,0.886426571,0.939794408,Rectum,Feces,0.060205592
0,Sg.M.E.6.16S,Sg.M.H.6.16S,1.887755102,0.112244898,0.059459459,0.059459459,0.112244898,Stomach,Feces,0.887755102
1,Sg.M.E.6.16S,Sg.M.H.6.16S,1.932576953,0.049474138,0.049474138,0.034887639,0.067423047,Stomach,Feces,0.932576953
2,Sg.M.E.6.16S,Sg.M.H.6.16S,1.980744195,0.0097215,0.019255805,0.0097215,0.019255805,Stomach,Feces,0.980744195
0,Sg.M.I.6.16S,Sg.M.H.6.16S,1.719063545,0.280936455,0.163424125,0.163424125,0.280936455,Intestine,Feces,0.719063545
1,Sg.M.I.6.16S,Sg.M.H.6.16S,1.655065878,0.273111357,0.273111357,0.208411113,0.344934122,Intestine,Feces,0.655065878
