q,ID1,ID2,DT,Non_lethal,Turnover
0,Sg.M.H.1.16S,Sg.M.E.1.16S,Stomach,Feces,0.769911504
0,Sg.M.H.10.16S,Sg.M.E.1.16S,Stomach,Feces,0.923497268
0,Sg.M.H.2.16S,Sg.M.E.1.16S,Stomach,Feces,0.827586207
0,Sg.M.H.3.16S,Sg.M.E.1.16S,Stomach,Feces,0.84057971
0,Sg.M.H.4.16S,Sg.M.E.1.16S,Stomach,Feces,0.904
0,Sg.M.H.5.16S,Sg.M.E.1.16S,Stomach,Feces,0.916230366
0,Sg.M.H.6.16S,Sg.M.E.1.16S,Stomach,Feces,0.912568306
0,Sg.M.H.7.16S,Sg.M.E.1.16S,Stomach,Feces,0.932038835
0,Sg.M.H.8.16S,Sg.M.E.1.16S,Stomach,Feces,0.928
0,Sg.M.H.9.16S,Sg.M.E.1.16S,Stomach,Feces,0.924050633
0,Sg.M.HC.1.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.8
0,Sg.M.HC.10.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.766233766
0,Sg.M.HC.2.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.80952381
0,Sg.M.HC.3.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.608695652
0,Sg.M.HC.4.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.785714286
0,Sg.M.HC.5.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.714285714
0,Sg.M.HC.6.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.848739496
0,Sg.M.HC.7.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.80952381
0,Sg.M.HC.8.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.76
0,Sg.M.HC.9.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.92
0,Sg.M.H.1.16S,Sg.M.E.10.16S,Stomach,Feces,0.753623188
0,Sg.M.H.10.16S,Sg.M.E.10.16S,Stomach,Feces,0.341040462
0,Sg.M.H.2.16S,Sg.M.E.10.16S,Stomach,Feces,0.849462366
0,Sg.M.H.3.16S,Sg.M.E.10.16S,Stomach,Feces,0.800664452
0,Sg.M.H.4.16S,Sg.M.E.10.16S,Stomach,Feces,0.840277778
0,Sg.M.H.5.16S,Sg.M.E.10.16S,Stomach,Feces,0.649717514
0,Sg.M.H.6.16S,Sg.M.E.10.16S,Stomach,Feces,0.705202312
0,Sg.M.H.7.16S,Sg.M.E.10.16S,Stomach,Feces,0.750677507
0,Sg.M.H.8.16S,Sg.M.E.10.16S,Stomach,Feces,0.680387409
0,Sg.M.H.9.16S,Sg.M.E.10.16S,Stomach,Feces,0.800623053
0,Sg.M.HC.1.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.968911917
0,Sg.M.HC.10.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.591666667
0,Sg.M.HC.2.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.735483871
0,Sg.M.HC.3.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.894736842
0,Sg.M.HC.4.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.968586387
0,Sg.M.HC.5.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.979057592
0,Sg.M.HC.6.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.80141844
0,Sg.M.HC.7.16S,Sg.M.E.10.16S,Stomach,Cloaca,1
0,Sg.M.HC.8.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.978723404
0,Sg.M.HC.9.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.989361702
0,Sg.M.H.1.16S,Sg.M.E.2.16S,Stomach,Feces,0.92
0,Sg.M.H.10.16S,Sg.M.E.2.16S,Stomach,Feces,0.976470588
0,Sg.M.H.2.16S,Sg.M.E.2.16S,Stomach,Feces,0.922330097
0,Sg.M.H.3.16S,Sg.M.E.2.16S,Stomach,Feces,0.952
0,Sg.M.H.4.16S,Sg.M.E.2.16S,Stomach,Feces,0.964285714
0,Sg.M.H.5.16S,Sg.M.E.2.16S,Stomach,Feces,0.95505618
0,Sg.M.H.6.16S,Sg.M.E.2.16S,Stomach,Feces,0.976470588
0,Sg.M.H.7.16S,Sg.M.E.2.16S,Stomach,Feces,0.958549223
0,Sg.M.H.8.16S,Sg.M.E.2.16S,Stomach,Feces,0.966244726
0,Sg.M.H.9.16S,Sg.M.E.2.16S,Stomach,Feces,0.972413793
0,Sg.M.HC.1.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.647058824
0,Sg.M.HC.10.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.875
0,Sg.M.HC.2.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.925373134
0,Sg.M.HC.3.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.757575758
0,Sg.M.HC.4.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.866666667
0,Sg.M.HC.5.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.733333333
0,Sg.M.HC.6.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.943396226
0,Sg.M.HC.7.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.75
0,Sg.M.HC.8.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.666666667
0,Sg.M.HC.9.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.833333333
0,Sg.M.H.1.16S,Sg.M.E.3.16S,Stomach,Feces,0.643410853
0,Sg.M.H.10.16S,Sg.M.E.3.16S,Stomach,Feces,0.859296482
0,Sg.M.H.2.16S,Sg.M.E.3.16S,Stomach,Feces,0.742424242
0,Sg.M.H.3.16S,Sg.M.E.3.16S,Stomach,Feces,0.714285714
0,Sg.M.H.4.16S,Sg.M.E.3.16S,Stomach,Feces,0.858156028
0,Sg.M.H.5.16S,Sg.M.E.3.16S,Stomach,Feces,0.826086957
0,Sg.M.H.6.16S,Sg.M.E.3.16S,Stomach,Feces,0.859296482
0,Sg.M.H.7.16S,Sg.M.E.3.16S,Stomach,Feces,0.81981982
0,Sg.M.H.8.16S,Sg.M.E.3.16S,Stomach,Feces,0.834586466
0,Sg.M.H.9.16S,Sg.M.E.3.16S,Stomach,Feces,0.873563218
0,Sg.M.HC.1.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.739130435
0,Sg.M.HC.10.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.720430108
0,Sg.M.HC.2.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.668711656
0,Sg.M.HC.3.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.548387097
0,Sg.M.HC.4.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.909090909
0,Sg.M.HC.5.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.863636364
0,Sg.M.HC.6.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.837037037
0,Sg.M.HC.7.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.945945946
0,Sg.M.HC.8.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.902439024
0,Sg.M.HC.9.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.951219512
0,Sg.M.H.1.16S,Sg.M.E.4.16S,Stomach,Feces,0.810218978
0,Sg.M.H.10.16S,Sg.M.E.4.16S,Stomach,Feces,0.826086957
0,Sg.M.H.2.16S,Sg.M.E.4.16S,Stomach,Feces,0.814285714
0,Sg.M.H.3.16S,Sg.M.E.4.16S,Stomach,Feces,0.777777778
0,Sg.M.H.4.16S,Sg.M.E.4.16S,Stomach,Feces,0.758389262
0,Sg.M.H.5.16S,Sg.M.E.4.16S,Stomach,Feces,0.795348837
0,Sg.M.H.6.16S,Sg.M.E.4.16S,Stomach,Feces,0.806763285
0,Sg.M.H.7.16S,Sg.M.E.4.16S,Stomach,Feces,0.87826087
0,Sg.M.H.8.16S,Sg.M.E.4.16S,Stomach,Feces,0.861313869
0,Sg.M.H.9.16S,Sg.M.E.4.16S,Stomach,Feces,0.857142857
0,Sg.M.HC.1.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.888888889
0,Sg.M.HC.10.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.801980198
0,Sg.M.HC.2.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.824561404
