q,Site1,Site2,DT,Non_lethal,Turnover
1,Sg.M.H.1.16S,Sg.M.E.1.16S,Stomach,Feces,0.448939063
1,Sg.M.H.10.16S,Sg.M.E.1.16S,Stomach,Feces,0.783984259
1,Sg.M.H.2.16S,Sg.M.E.1.16S,Stomach,Feces,0.695273894
1,Sg.M.H.3.16S,Sg.M.E.1.16S,Stomach,Feces,0.5851227
1,Sg.M.H.4.16S,Sg.M.E.1.16S,Stomach,Feces,0.912808469
1,Sg.M.H.5.16S,Sg.M.E.1.16S,Stomach,Feces,0.776206992
1,Sg.M.H.6.16S,Sg.M.E.1.16S,Stomach,Feces,0.708960334
1,Sg.M.H.7.16S,Sg.M.E.1.16S,Stomach,Feces,0.821092722
1,Sg.M.H.8.16S,Sg.M.E.1.16S,Stomach,Feces,0.778764399
1,Sg.M.H.9.16S,Sg.M.E.1.16S,Stomach,Feces,0.829386712
1,Sg.M.HC.1.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.545223434
1,Sg.M.HC.10.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.711844263
1,Sg.M.HC.2.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.430830771
1,Sg.M.HC.3.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.568482952
1,Sg.M.HC.4.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.88908875
1,Sg.M.HC.5.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.943452279
1,Sg.M.HC.6.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.81736091
1,Sg.M.HC.7.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.689328878
1,Sg.M.HC.8.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.969272738
1,Sg.M.HC.9.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.942718889
1,Sg.M.H.1.16S,Sg.M.E.10.16S,Stomach,Feces,0.65911649
1,Sg.M.H.10.16S,Sg.M.E.10.16S,Stomach,Feces,0.188162695
1,Sg.M.H.2.16S,Sg.M.E.10.16S,Stomach,Feces,0.771660278
1,Sg.M.H.3.16S,Sg.M.E.10.16S,Stomach,Feces,0.673600899
1,Sg.M.H.4.16S,Sg.M.E.10.16S,Stomach,Feces,0.807086161
1,Sg.M.H.5.16S,Sg.M.E.10.16S,Stomach,Feces,0.518097943
1,Sg.M.H.6.16S,Sg.M.E.10.16S,Stomach,Feces,0.591725142
1,Sg.M.H.7.16S,Sg.M.E.10.16S,Stomach,Feces,0.686138944
1,Sg.M.H.8.16S,Sg.M.E.10.16S,Stomach,Feces,0.616915012
1,Sg.M.H.9.16S,Sg.M.E.10.16S,Stomach,Feces,0.632501171
1,Sg.M.HC.1.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.94254727
1,Sg.M.HC.10.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.361097828
1,Sg.M.HC.2.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.634930841
1,Sg.M.HC.3.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.880014755
1,Sg.M.HC.4.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.950580476
1,Sg.M.HC.5.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.961917702
1,Sg.M.HC.6.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.798700474
1,Sg.M.HC.7.16S,Sg.M.E.10.16S,Stomach,Cloaca,1
1,Sg.M.HC.8.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.962525692
1,Sg.M.HC.9.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.963968332
1,Sg.M.H.1.16S,Sg.M.E.2.16S,Stomach,Feces,0.567328215
1,Sg.M.H.10.16S,Sg.M.E.2.16S,Stomach,Feces,0.788945534
1,Sg.M.H.2.16S,Sg.M.E.2.16S,Stomach,Feces,0.734619741
1,Sg.M.H.3.16S,Sg.M.E.2.16S,Stomach,Feces,0.773776408
1,Sg.M.H.4.16S,Sg.M.E.2.16S,Stomach,Feces,0.883266473
1,Sg.M.H.5.16S,Sg.M.E.2.16S,Stomach,Feces,0.860893647
1,Sg.M.H.6.16S,Sg.M.E.2.16S,Stomach,Feces,0.638243742
1,Sg.M.H.7.16S,Sg.M.E.2.16S,Stomach,Feces,0.709286193
1,Sg.M.H.8.16S,Sg.M.E.2.16S,Stomach,Feces,0.772342317
1,Sg.M.H.9.16S,Sg.M.E.2.16S,Stomach,Feces,0.85043103
1,Sg.M.HC.1.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.496869163
1,Sg.M.HC.10.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.736005238
1,Sg.M.HC.2.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.570934948
1,Sg.M.HC.3.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.872557175
1,Sg.M.HC.4.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.904869895
1,Sg.M.HC.5.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.959902479
1,Sg.M.HC.6.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.779953581
1,Sg.M.HC.7.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.98274362
1,Sg.M.HC.8.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.978255408
1,Sg.M.HC.9.16S,Sg.M.E.2.16S,Stomach,Cloaca,0.938982236
1,Sg.M.H.1.16S,Sg.M.E.3.16S,Stomach,Feces,0.387650878
1,Sg.M.H.10.16S,Sg.M.E.3.16S,Stomach,Feces,0.715665183
1,Sg.M.H.2.16S,Sg.M.E.3.16S,Stomach,Feces,0.50087847
1,Sg.M.H.3.16S,Sg.M.E.3.16S,Stomach,Feces,0.325217337
1,Sg.M.H.4.16S,Sg.M.E.3.16S,Stomach,Feces,0.759675119
1,Sg.M.H.5.16S,Sg.M.E.3.16S,Stomach,Feces,0.631642374
1,Sg.M.H.6.16S,Sg.M.E.3.16S,Stomach,Feces,0.496388874
1,Sg.M.H.7.16S,Sg.M.E.3.16S,Stomach,Feces,0.57736679
1,Sg.M.H.8.16S,Sg.M.E.3.16S,Stomach,Feces,0.574462738
1,Sg.M.H.9.16S,Sg.M.E.3.16S,Stomach,Feces,0.652875191
1,Sg.M.HC.1.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.725862958
