index,Phylum,Cloaca,Small.intestine
Sg.M.HC.1.16S,Firmicutes,5.494259943,5.976347001
Sg.M.HC.1.16S,Bacteroidota,4.886012207,6.552522505
Sg.M.HC.1.16S,Proteobacteria,8.434024457,6.121177949
Sg.M.HC.1.16S,Desulfobacterota,0.001620736,0.509350224
Sg.M.HC.1.16S,Actinobacteriota,4.909001725,-0.899446963
Sg.M.HC.1.16S,Cyanobacteria,-2.141358229,-1.251456354
Sg.M.HC.1.16S,Campilobacterota,0.001614404,0.509343892
Sg.M.HC.1.16S,Verrucomicrobiota,0.001833357,0.509562845
Sg.M.HC.1.16S,Unassaigned,-3.110810625,-2.22090875
Sg.M.HC.1.16S,Spirochaetota,-6.802424336,-5.912522461
Sg.M.HC.1.16S,Acidobacteriota,-4.465281107,-3.575379232
Sg.M.HC.1.16S,Deferribacterota,-7.208492532,-6.318590657
Sg.M.HC.2.16S,Firmicutes,6.328183283,6.523755114
Sg.M.HC.2.16S,Bacteroidota,6.633943506,5.94489708
Sg.M.HC.2.16S,Proteobacteria,5.004627263,5.306238084
Sg.M.HC.2.16S,Desulfobacterota,2.604799622,2.726021255
Sg.M.HC.2.16S,Actinobacteriota,-2.355333971,-0.951046526
Sg.M.HC.2.16S,Cyanobacteria,0.54641149,-1.303055917
Sg.M.HC.2.16S,Campilobacterota,-2.368545666,-0.006614344
Sg.M.HC.2.16S,Verrucomicrobiota,2.797703288,-0.006395391
Sg.M.HC.2.16S,Unassaigned,-2.32566531,-2.272508314
Sg.M.HC.2.16S,Spirochaetota,-6.265732846,-5.964122024
Sg.M.HC.2.16S,Acidobacteriota,-3.928589617,-3.626978795
Sg.M.HC.2.16S,Deferribacterota,-6.671801042,-6.37019022
Sg.M.HC.3.16S,Firmicutes,6.071307349,7.276713289
Sg.M.HC.3.16S,Bacteroidota,4.946091315,6.262145897
Sg.M.HC.3.16S,Proteobacteria,5.375770681,5.494387852
Sg.M.HC.3.16S,Desulfobacterota,-1.089754925,0.108516621
Sg.M.HC.3.16S,Actinobacteriota,-1.729269729,-0.762896758
Sg.M.HC.3.16S,Cyanobacteria,-2.081279121,-1.114906149
Sg.M.HC.3.16S,Campilobacterota,8.210952253,0.108510288
Sg.M.HC.3.16S,Verrucomicrobiota,1.642874342,0.108729242
Sg.M.HC.3.16S,Unassaigned,-3.050731517,-2.084358546
Sg.M.HC.3.16S,Spirochaetota,-6.742345227,-5.775972256
Sg.M.HC.3.16S,Acidobacteriota,-4.405201998,-3.438829027
Sg.M.HC.3.16S,Deferribacterota,-7.148413424,-6.182040453
Sg.M.HC.10.16S,Firmicutes,5.652833703,8.133987125
