index,Phylum,Cloaca,Rectum
Sg.M.HC.1.16S,Firmicutes,5.494259943,6.410239652
Sg.M.HC.1.16S,Bacteroidota,4.886012207,6.592490465
Sg.M.HC.1.16S,Proteobacteria,8.434024457,4.03001417
Sg.M.HC.1.16S,Desulfobacterota,0.001620736,3.33686699
Sg.M.HC.1.16S,Actinobacteriota,4.909001725,-2.464466884
Sg.M.HC.1.16S,Cyanobacteria,-2.141358229,-2.464302464
Sg.M.HC.1.16S,Campilobacterota,0.001614404,-2.477678579
Sg.M.HC.1.16S,Verrucomicrobiota,0.001833357,3.390451236
Sg.M.HC.1.16S,Unassaigned,-3.110810625,-3.548732228
Sg.M.HC.1.16S,Spirochaetota,-6.802424336,-7.240345938
Sg.M.HC.1.16S,Acidobacteriota,-4.465281107,-4.903202709
Sg.M.HC.1.16S,Deferribacterota,-7.208492532,-0.661333712
Sg.M.HC.2.16S,Firmicutes,6.328183283,7.056769268
Sg.M.HC.2.16S,Bacteroidota,6.633943506,7.036851806
Sg.M.HC.2.16S,Proteobacteria,5.004627263,3.751653338
Sg.M.HC.2.16S,Desulfobacterota,2.604799622,2.474792818
Sg.M.HC.2.16S,Actinobacteriota,-2.355333971,0.370658664
Sg.M.HC.2.16S,Cyanobacteria,0.54641149,-2.857640664
Sg.M.HC.2.16S,Campilobacterota,-2.368545666,3.926006725
Sg.M.HC.2.16S,Verrucomicrobiota,2.797703288,2.693046384
Sg.M.HC.2.16S,Unassaigned,-2.32566531,-3.82709306
Sg.M.HC.2.16S,Spirochaetota,-6.265732846,-7.51870677
Sg.M.HC.2.16S,Acidobacteriota,-3.928589617,-5.181563542
Sg.M.HC.2.16S,Deferribacterota,-6.671801042,-7.924774967
Sg.M.HC.3.16S,Firmicutes,6.071307349,6.473727905
Sg.M.HC.3.16S,Bacteroidota,4.946091315,6.329084165
Sg.M.HC.3.16S,Proteobacteria,5.375770681,2.851494455
Sg.M.HC.3.16S,Desulfobacterota,-1.089754925,2.131679027
Sg.M.HC.3.16S,Actinobacteriota,-1.729269729,1.005667764
Sg.M.HC.3.16S,Cyanobacteria,-2.081279121,-3.757799547
Sg.M.HC.3.16S,Campilobacterota,8.210952253,2.5280943
Sg.M.HC.3.16S,Verrucomicrobiota,1.642874342,2.452586747
Sg.M.HC.3.16S,Unassaigned,-3.050731517,-4.727251944
Sg.M.HC.3.16S,Spirochaetota,-6.742345227,-0.380626597
Sg.M.HC.3.16S,Acidobacteriota,-4.405201998,-6.081722425
Sg.M.HC.3.16S,Deferribacterota,-7.148413424,-8.82493385
Sg.M.HC.10.16S,Firmicutes,5.652833703,8.046130598
