index,Phylum,Stomach,Cloaca
Sg.M.E.1.16S,Firmicutes,5.30784937,5.494259943
Sg.M.E.1.16S,Bacteroidota,5.622560115,4.886012207
Sg.M.E.1.16S,Proteobacteria,4.949215561,8.434024457
Sg.M.E.1.16S,Desulfobacterota,2.40368429,0.001620736
Sg.M.E.1.16S,Actinobacteriota,-1.567944594,4.909001725
Sg.M.E.1.16S,Cyanobacteria,-1.919953985,-2.141358229
Sg.M.E.1.16S,Campilobacterota,4.195443759,0.001614404
Sg.M.E.1.16S,Verrucomicrobiota,1.710537109,0.001833357
Sg.M.E.1.16S,Unassaigned,-2.889406382,-3.110810625
Sg.M.E.1.16S,Spirochaetota,-6.581020092,-6.802424336
Sg.M.E.1.16S,Acidobacteriota,-4.243876863,-4.465281107
Sg.M.E.1.16S,Deferribacterota,-6.987088288,-7.208492532
Sg.M.E.2.16S,Firmicutes,5.91971647,6.328183283
Sg.M.E.2.16S,Bacteroidota,5.801933435,6.633943506
Sg.M.E.2.16S,Proteobacteria,5.280636511,5.004627263
Sg.M.E.2.16S,Desulfobacterota,1.213006177,2.604799622
Sg.M.E.2.16S,Actinobacteriota,-0.9766481,-2.355333971
Sg.M.E.2.16S,Cyanobacteria,-1.328657491,0.54641149
Sg.M.E.2.16S,Campilobacterota,1.212999845,-2.368545666
Sg.M.E.2.16S,Verrucomicrobiota,1.213218798,2.797703288
Sg.M.E.2.16S,Unassaigned,-2.298109887,-2.32566531
Sg.M.E.2.16S,Spirochaetota,-5.989723597,-6.265732846
Sg.M.E.2.16S,Acidobacteriota,-3.652580369,-3.928589617
Sg.M.E.2.16S,Deferribacterota,-6.395791794,-6.671801042
Sg.M.E.3.16S,Firmicutes,7.429439316,6.071307349
Sg.M.E.3.16S,Bacteroidota,7.172443054,4.946091315
Sg.M.E.3.16S,Proteobacteria,5.200557419,5.375770681
Sg.M.E.3.16S,Desulfobacterota,0.439779904,-1.089754925
Sg.M.E.3.16S,Actinobacteriota,-1.056727192,-1.729269729
Sg.M.E.3.16S,Cyanobacteria,-1.408736583,-2.081279121
Sg.M.E.3.16S,Campilobacterota,0.439773572,8.210952253
Sg.M.E.3.16S,Verrucomicrobiota,0.439992525,1.642874342
Sg.M.E.3.16S,Unassaigned,-2.378188979,-3.050731517
Sg.M.E.3.16S,Spirochaetota,-6.06980269,-6.742345227
Sg.M.E.3.16S,Acidobacteriota,-3.732659461,-4.405201998
Sg.M.E.3.16S,Deferribacterota,-6.475870886,-7.148413424
Sg.M.HC.1.16S,Firmicutes,6.648105164,5.652833703
Sg.M.HC.1.16S,Bacteroidota,6.720093295,6.419857419
Sg.M.HC.1.16S,Proteobacteria,3.530064961,6.688298391
Sg.M.HC.1.16S,Desulfobacterota,2.46160571,2.154163979
