index	Phylum	Feces	Rectum
Sg.M.H.1.16S	Firmicutes	5.824368969	6.410239652
Sg.M.H.1.16S	Bacteroidota	6.37515244	6.592490465
Sg.M.H.1.16S	Proteobacteria	4.881491804	4.03001417
Sg.M.H.1.16S	Desulfobacterota	2.06114865	3.33686699
Sg.M.H.1.16S	Actinobacteriota	-2.184331557	-2.464466884
Sg.M.H.1.16S	Cyanobacteria	2.103708265	-2.464302464
Sg.M.H.1.16S	Campilobacterota	-2.197543253	-2.477678579
Sg.M.H.1.16S	Verrucomicrobiota	3.068789161	3.390451236
Sg.M.H.1.16S	Unassaigned	-2.697254595	-3.548732228
Sg.M.H.1.16S	Spirochaetota	-6.388868305	-7.240345938
Sg.M.H.1.16S	Acidobacteriota	-4.051725076	-4.903202709
Sg.M.H.1.16S	Deferribacterota	-6.794936501	-0.661333712
Sg.M.H.2.16S	Firmicutes	6.765374538	7.056769268
Sg.M.H.2.16S	Bacteroidota	6.224734651	7.036851806
Sg.M.H.2.16S	Proteobacteria	4.771950549	3.751653338
Sg.M.H.2.16S	Desulfobacterota	2.299466419	2.474792818
Sg.M.H.2.16S	Actinobacteriota	-2.106356439	0.370658664
Sg.M.H.2.16S	Cyanobacteria	-2.106192019	-2.857640664
Sg.M.H.2.16S	Campilobacterota	2.299466419	3.926006725
Sg.M.H.2.16S	Verrucomicrobiota	2.222505378	2.693046384
Sg.M.H.2.16S	Unassaigned	-2.806795849	-3.82709306
Sg.M.H.2.16S	Spirochaetota	-6.49840956	-7.51870677
Sg.M.H.2.16S	Acidobacteriota	-4.161266331	-5.181563542
Sg.M.H.2.16S	Deferribacterota	-6.904477756	-7.924774967
Sg.M.H.3.16S	Firmicutes	8.138968735	6.473727905
Sg.M.H.3.16S	Bacteroidota	7.226730693	6.329084165
Sg.M.H.3.16S	Proteobacteria	3.993598008	2.851494455
Sg.M.H.3.16S	Desulfobacterota	2.814943011	2.131679027
Sg.M.H.3.16S	Actinobacteriota	-2.263686603	1.005667764
