Small.intestine+DD38:D75	Phylum	Feces	Small.intestine
Sg.M.H.1.16S	Firmicutes	5.824368969	5.976347001
Sg.M.H.1.16S	Bacteroidota	6.37515244	6.552522505
Sg.M.H.1.16S	Proteobacteria	4.881491804	6.121177949
Sg.M.H.1.16S	Desulfobacterota	2.06114865	0.509350224
Sg.M.H.1.16S	Actinobacteriota	-2.184331557	-0.899446963
Sg.M.H.1.16S	Cyanobacteria	2.103708265	-1.251456354
Sg.M.H.1.16S	Campilobacterota	-2.197543253	0.509343892
Sg.M.H.1.16S	Verrucomicrobiota	3.068789161	0.509562845
Sg.M.H.1.16S	Unassaigned	-2.697254595	-2.22090875
Sg.M.H.1.16S	Spirochaetota	-6.388868305	-5.912522461
Sg.M.H.1.16S	Acidobacteriota	-4.051725076	-3.575379232
Sg.M.H.1.16S	Deferribacterota	-6.794936501	-6.318590657
Sg.M.H.2.16S	Firmicutes	6.765374538	6.523755114
Sg.M.H.2.16S	Bacteroidota	6.224734651	5.94489708
Sg.M.H.2.16S	Proteobacteria	4.771950549	5.306238084
Sg.M.H.2.16S	Desulfobacterota	2.299466419	2.726021255
Sg.M.H.2.16S	Actinobacteriota	-2.106356439	-0.951046526
Sg.M.H.2.16S	Cyanobacteria	-2.106192019	-1.303055917
Sg.M.H.2.16S	Campilobacterota	2.299466419	-0.006614344
Sg.M.H.2.16S	Verrucomicrobiota	2.222505378	-0.006395391
Sg.M.H.2.16S	Unassaigned	-2.806795849	-2.272508314
Sg.M.H.2.16S	Spirochaetota	-6.49840956	-5.964122024
Sg.M.H.2.16S	Acidobacteriota	-4.161266331	-3.626978795
Sg.M.H.2.16S	Deferribacterota	-6.904477756	-6.37019022
Sg.M.H.3.16S	Firmicutes	8.138968735	7.276713289
Sg.M.H.3.16S	Bacteroidota	7.226730693	6.262145897
Sg.M.H.3.16S	Proteobacteria	3.993598008	5.494387852
Sg.M.H.3.16S	Desulfobacterota	2.814943011	0.108516621
Sg.M.H.3.16S	Actinobacteriota	-2.263686603	-0.762896758
Sg.M.H.3.16S	Cyanobacteria	-2.615695994	-1.114906149
Sg.M.H.3.16S	Campilobacterota	1.716330723	0.108510288
Sg.M.H.3.16S	Verrucomicrobiota	4.473171088	0.108729242
Sg.M.H.3.16S	Unassaigned	-3.58514839	-2.084358546
Sg.M.H.3.16S	Spirochaetota	-7.276762101	-5.775972256
Sg.M.H.3.16S	Acidobacteriota	-4.939618872	-3.438829027
Sg.M.H.3.16S	Deferribacterota	-7.682830297	-6.182040453
Sg.M.H.10.16S	Firmicutes	6.738197162	8.133987125
Sg.M.H.10.16S	Bacteroidota	6.398046702	8.220921917
Sg.M.H.10.16S	Proteobacteria	6.249439888	3.221179064
Sg.M.H.10.16S	Desulfobacterota	3.500309661	4.013417148
Sg.M.H.10.16S	Actinobacteriota	-3.123105077	-3.036105546
Sg.M.H.10.16S	Cyanobacteria	-3.122940657	-3.388114937
Sg.M.H.10.16S	Campilobacterota	-3.136316772	-1.773219633
Sg.M.H.10.16S	Verrucomicrobiota	3.646363131	5.394983368
Sg.M.H.10.16S	Unassaigned	-3.093436415	1.429419595
Sg.M.H.10.16S	Spirochaetota	-5.290389841	-8.049181044
Sg.M.H.10.16S	Acidobacteriota	-3.069709746	-5.712037815
Sg.M.H.10.16S	Deferribacterota	-5.696458037	-8.455249241
Sg.M.H.4.16S	Firmicutes	7.047881053	5.532102175
Sg.M.H.4.16S	Bacteroidota	5.188667282	4.605340143
Sg.M.H.4.16S	Proteobacteria	7.027375491	10.73259231
Sg.M.H.4.16S	Desulfobacterota	4.031786085	-0.56090248
Sg.M.H.4.16S	Actinobacteriota	0.81291026	-2.070020902
Sg.M.H.4.16S	Cyanobacteria	-2.935968641	-2.422030293
Sg.M.H.4.16S	Campilobacterota	-2.949344756	-0.560908812
Sg.M.H.4.16S	Verrucomicrobiota	2.251390375	-0.560689859
Sg.M.H.4.16S	Unassaigned	-2.9064644	4.622731886
Sg.M.H.4.16S	Spirochaetota	-6.499769261	-7.083096399
Sg.M.H.4.16S	Acidobacteriota	-4.162626032	-4.745953171
Sg.M.H.4.16S	Deferribacterota	-6.905837457	-7.489164596
Sg.M.H.5.16S	Firmicutes	8.58672563	7.959473587
Sg.M.H.5.16S	Bacteroidota	7.947492214	7.19604758
Sg.M.H.5.16S	Proteobacteria	4.168079367	4.542408147
Sg.M.H.5.16S	Desulfobacterota	4.109971736	3.277474643
Sg.M.H.5.16S	Actinobacteriota	-1.76218819	0.12759169
Sg.M.H.5.16S	Cyanobacteria	-2.441214635	-2.08084217
Sg.M.H.5.16S	Campilobacterota	-1.775399886	-2.094218286
Sg.M.H.5.16S	Verrucomicrobiota	3.952967987	2.361183911
Sg.M.H.5.16S	Unassaigned	-3.410667031	-3.036338251
Sg.M.H.5.16S	Spirochaetota	-7.102280742	-6.727951961
Sg.M.H.5.16S	Acidobacteriota	-4.765137513	-4.390808732
Sg.M.H.5.16S	Deferribacterota	-7.508348938	-7.134020158
Sg.M.H.6.16S	Firmicutes	7.680597869	8.582569727
Sg.M.H.6.16S	Bacteroidota	7.301652313	8.601869462
Sg.M.H.6.16S	Proteobacteria	4.423974158	3.681133725
Sg.M.H.6.16S	Desulfobacterota	3.288994225	4.732678503
Sg.M.H.6.16S	Actinobacteriota	-2.657273673	-2.576150886
Sg.M.H.6.16S	Cyanobacteria	0.755297411	-2.928160277
Sg.M.H.6.16S	Campilobacterota	-2.670485369	-0.809359792
Sg.M.H.6.16S	Verrucomicrobiota	3.640098124	5.449636332
Sg.M.H.6.16S	Unassaigned	-3.15477224	-3.897612674
Sg.M.H.6.16S	Spirochaetota	-6.846385951	-7.589226384
Sg.M.H.6.16S	Acidobacteriota	-4.509242722	-5.252083155
Sg.M.H.6.16S	Deferribacterota	-7.252454147	-7.99529458
Sg.M.H.7.16S	Firmicutes	7.568148349	6.338601568
Sg.M.H.7.16S	Bacteroidota	7.645473093	6.403575634
Sg.M.H.7.16S	Proteobacteria	3.50637063	4.106968994
Sg.M.H.7.16S	Desulfobacterota	3.083143065	2.125302056
Sg.M.H.7.16S	Actinobacteriota	-2.559442419	-0.29603179
Sg.M.H.7.16S	Cyanobacteria	1.546275846	0.064981556
Sg.M.H.7.16S	Campilobacterota	2.379184969	3.195191744
Sg.M.H.7.16S	Verrucomicrobiota	2.264115639	1.794220668
Sg.M.H.7.16S	Unassaigned	-4.072375768	-4.511843336
Sg.M.H.7.16S	Spirochaetota	-7.763989479	-7.163391115
Sg.M.H.7.16S	Acidobacteriota	-5.42684625	-4.488116667
Sg.M.H.7.16S	Deferribacterota	-8.170057675	-7.569459311
Sg.M.H.8.16S	Firmicutes	8.188689717	6.48614418
Sg.M.H.8.16S	Bacteroidota	7.311791859	5.852144672
Sg.M.H.8.16S	Proteobacteria	6.086245884	10.16443914
Sg.M.H.8.16S	Desulfobacterota	3.662386957	-0.961406137
Sg.M.H.8.16S	Actinobacteriota	-3.32449302	-0.948200774
Sg.M.H.8.16S	Cyanobacteria	1.637279766	-0.948036354
Sg.M.H.8.16S	Campilobacterota	0.45862477	-0.96141247
Sg.M.H.8.16S	Verrucomicrobiota	3.707059397	-0.961193517
Sg.M.H.8.16S	Unassaigned	-4.645954808	-2.14467816
Sg.M.H.8.16S	Spirochaetota	-8.337568518	-5.836291871
Sg.M.H.8.16S	Acidobacteriota	-6.000425289	-3.499148642
Sg.M.H.8.16S	Deferribacterota	-8.743636715	-6.242360067
Sg.M.H.9.16S	Firmicutes	6.761660125	7.026714386
Sg.M.H.9.16S	Bacteroidota	7.306404703	7.353106324
Sg.M.H.9.16S	Proteobacteria	5.083105029	4.332359819
Sg.M.H.9.16S	Desulfobacterota	2.794409048	3.850337002
Sg.M.H.9.16S	Actinobacteriota	-2.781485062	0.115176795
Sg.M.H.9.16S	Cyanobacteria	1.218872688	1.196089507
Sg.M.H.9.16S	Campilobacterota	-2.794696757	-3.952459871
Sg.M.H.9.16S	Verrucomicrobiota	1.794236832	2.871181389
Sg.M.H.9.16S	Unassaigned	-2.751816401	-3.909579514
Sg.M.H.9.16S	Spirochaetota	-6.187255079	-6.93800029
Sg.M.H.9.16S	Acidobacteriota	-3.850111851	-4.600857061
Sg.M.H.9.16S	Deferribacterota	-6.593323276	-7.344068486
