index	names	Swab	Smallintestine
Sg.M.HC.1.16S	d__Bacteria.p__Firmicutes	5.494259943487975	0
Sg.M.HC.1.16S	d__Bacteria.p__Bacteroidota	4.886012206714516	0
Sg.M.HC.1.16S	d__Bacteria.p__Proteobacteria	8.434024456713717	0
Sg.M.HC.1.16S	d__Bacteria.p__Desulfobacterota	0.0016207362401567948	0
Sg.M.HC.1.16S	d__Bacteria.p__Actinobacteriota	4.909001724939214	0
Sg.M.HC.1.16S	d__Bacteria.p__Cyanobacteria	-2.141358229113915	0
Sg.M.HC.1.16S	d__Bacteria.p__Campilobacterota	0.0016144040745540433	0
Sg.M.HC.1.16S	d__Bacteria.p__Verrucomicrobiota	0.001833357167535965	0
Sg.M.HC.1.16S	d__Bacteria.__Unassaigned	-3.1108106253966965	0
Sg.M.HC.1.16S	d__Bacteria.p__Spirochaetota	-6.802424335734923	0
Sg.M.HC.1.16S	d__Bacteria.p__Acidobacteriota	-4.465281106925811	0
Sg.M.HC.1.16S	d__Bacteria.p__Deferribacterota	-7.208492532166323	0
Sg.M.HC.2.16S	d__Bacteria.p__Firmicutes	6.328183283288917	0
Sg.M.HC.2.16S	d__Bacteria.p__Bacteroidota	6.633943505625237	0
Sg.M.HC.2.16S	d__Bacteria.p__Proteobacteria	5.004627262802449	0
Sg.M.HC.2.16S	d__Bacteria.p__Desulfobacterota	2.604799622253025	0
Sg.M.HC.2.16S	d__Bacteria.p__Actinobacteriota	-2.3553339710410155	0
Sg.M.HC.2.16S	d__Bacteria.p__Cyanobacteria	0.5464114897710215	0
Sg.M.HC.2.16S	d__Bacteria.p__Campilobacterota	-2.368545666403433	0
Sg.M.HC.2.16S	d__Bacteria.p__Verrucomicrobiota	2.797703288377517	0
Sg.M.HC.2.16S	d__Bacteria.__Unassaigned	-2.3256653098061486	0
Sg.M.HC.2.16S	d__Bacteria.p__Spirochaetota	-6.265732845748426	0
Sg.M.HC.2.16S	d__Bacteria.p__Acidobacteriota	-3.9285896169393157	0
Sg.M.HC.2.16S	d__Bacteria.p__Deferribacterota	-6.671801042179827	0
Sg.M.HC.3.16S	d__Bacteria.p__Firmicutes	6.071307349426755	0
Sg.M.HC.3.16S	d__Bacteria.p__Bacteroidota	4.94609131524067	0
Sg.M.HC.3.16S	d__Bacteria.p__Proteobacteria	5.375770681469429	0
Sg.M.HC.3.16S	d__Bacteria.p__Desulfobacterota	-1.0897549252761791	0
Sg.M.HC.3.16S	d__Bacteria.p__Actinobacteriota	-1.729269729443186	0
Sg.M.HC.3.16S	d__Bacteria.p__Cyanobacteria	-2.081279120587761	0
Sg.M.HC.3.16S	d__Bacteria.p__Campilobacterota	8.210952253350692	0
Sg.M.HC.3.16S	d__Bacteria.p__Verrucomicrobiota	1.6428743419387177	0
Sg.M.HC.3.16S	d__Bacteria.__Unassaigned	-3.0507315168705422	0
Sg.M.HC.3.16S	d__Bacteria.p__Spirochaetota	-6.7423452272087685	0
Sg.M.HC.3.16S	d__Bacteria.p__Acidobacteriota	-4.405201998399658	0
Sg.M.HC.3.16S	d__Bacteria.p__Deferribacterota	-7.148413423640169	0
Sg.M.I.1.16S	d__Bacteria.p__Firmicutes	0	5.976347001043359
Sg.M.I.1.16S	d__Bacteria.p__Bacteroidota	0	6.5525225050178
Sg.M.I.1.16S	d__Bacteria.p__Proteobacteria	0	6.121177948921814
Sg.M.I.1.16S	d__Bacteria.p__Desulfobacterota	0	0.5093502244088783
Sg.M.I.1.16S	d__Bacteria.p__Actinobacteriota	0	-0.8994469629134023
Sg.M.I.1.16S	d__Bacteria.p__Cyanobacteria	0	-1.2514563540579775
Sg.M.I.1.16S	d__Bacteria.p__Campilobacterota	0	0.5093438922432756
Sg.M.I.1.16S	d__Bacteria.p__Verrucomicrobiota	0	0.5095628453362575
Sg.M.I.1.16S	d__Bacteria.__Unassaigned	0	-2.220908750340759
Sg.M.I.1.16S	d__Bacteria.p__Spirochaetota	0	-5.912522460678985
Sg.M.I.1.16S	d__Bacteria.p__Acidobacteriota	0	-3.575379231869875
Sg.M.I.1.16S	d__Bacteria.p__Deferribacterota	0	-6.318590657110386
Sg.M.I.2.16S	d__Bacteria.p__Firmicutes	0	6.523755113928539
Sg.M.I.2.16S	d__Bacteria.p__Bacteroidota	0	5.944897079770722
Sg.M.I.2.16S	d__Bacteria.p__Proteobacteria	0	5.306238084494845
Sg.M.I.2.16S	d__Bacteria.p__Desulfobacterota	0	2.7260212549025207
Sg.M.I.2.16S	d__Bacteria.p__Actinobacteriota	0	-0.9510465262904468
Sg.M.I.2.16S	d__Bacteria.p__Cyanobacteria	0	-1.303055917435022
Sg.M.I.2.16S	d__Bacteria.p__Campilobacterota	0	-0.0066143444779789284
Sg.M.I.2.16S	d__Bacteria.p__Verrucomicrobiota	0	-0.006395391384997007
Sg.M.I.2.16S	d__Bacteria.__Unassaigned	0	-2.272508313717804
Sg.M.I.2.16S	d__Bacteria.p__Spirochaetota	0	-5.96412202405603
Sg.M.I.2.16S	d__Bacteria.p__Acidobacteriota	0	-3.6269787952469192
Sg.M.I.2.16S	d__Bacteria.p__Deferribacterota	0	-6.37019022048743
Sg.M.I.3.16S	d__Bacteria.p__Firmicutes	0	7.2767132894581525
Sg.M.I.3.16S	d__Bacteria.p__Bacteroidota	0	6.262145896814576
Sg.M.I.3.16S	d__Bacteria.p__Proteobacteria	0	5.494387852463456
Sg.M.I.3.16S	d__Bacteria.p__Desulfobacterota	0	0.10851662064134393
Sg.M.I.3.16S	d__Bacteria.p__Actinobacteriota	0	-0.7628967583218369
Sg.M.I.3.16S	d__Bacteria.p__Cyanobacteria	0	-1.114906149466412
Sg.M.I.3.16S	d__Bacteria.p__Campilobacterota	0	0.10851028847574118
Sg.M.I.3.16S	d__Bacteria.p__Verrucomicrobiota	0	0.1087292415687231
Sg.M.I.3.16S	d__Bacteria.__Unassaigned	0	-2.0843585457491933
Sg.M.I.3.16S	d__Bacteria.p__Spirochaetota	0	-5.775972256087419
Sg.M.I.3.16S	d__Bacteria.p__Acidobacteriota	0	-3.4388290272783095
Sg.M.I.3.16S	d__Bacteria.p__Deferribacterota	0	-6.18204045251882
Sg.M.HC.10.16S	d__Bacteria.p__Firmicutes	5.652833703066704	0
Sg.M.HC.10.16S	d__Bacteria.p__Bacteroidota	6.419857418942308	0
Sg.M.HC.10.16S	d__Bacteria.p__Proteobacteria	6.688298391467068	0
Sg.M.HC.10.16S	d__Bacteria.p__Desulfobacterota	2.154163978595728	0
Sg.M.HC.10.16S	d__Bacteria.p__Actinobacteriota	-1.5948793426035126	0
Sg.M.HC.10.16S	d__Bacteria.p__Cyanobacteria	-1.594714922690147	0
Sg.M.HC.10.16S	d__Bacteria.p__Campilobacterota	-1.6080910379659297	0
Sg.M.HC.10.16S	d__Bacteria.p__Verrucomicrobiota	3.203986103094406	0
Sg.M.HC.10.16S	d__Bacteria.__Unassaigned	-2.544422048317414	0
Sg.M.HC.10.16S	d__Bacteria.p__Spirochaetota	-6.23603575865564	0
Sg.M.HC.10.16S	d__Bacteria.p__Acidobacteriota	-3.89889252984653	0
Sg.M.HC.10.16S	d__Bacteria.p__Deferribacterota	-6.642103955087041	0
Sg.M.HC.4.16S	d__Bacteria.p__Firmicutes	5.092526382259047	0
Sg.M.HC.4.16S	d__Bacteria.p__Bacteroidota	0.6363983235948225	0
Sg.M.HC.4.16S	d__Bacteria.p__Proteobacteria	10.219038133741105	0
Sg.M.HC.4.16S	d__Bacteria.p__Desulfobacterota	3.9575464494200627	0
Sg.M.HC.4.16S	d__Bacteria.p__Actinobacteriota	-1.783267581697714	0
Sg.M.HC.4.16S	d__Bacteria.p__Cyanobacteria	-2.135276972842289	0
Sg.M.HC.4.16S	d__Bacteria.p__Campilobacterota	4.938375702431789	0
Sg.M.HC.4.16S	d__Bacteria.p__Verrucomicrobiota	0.6373431382304258	0
Sg.M.HC.4.16S	d__Bacteria.__Unassaigned	-3.1047293691250704	0
Sg.M.HC.4.16S	d__Bacteria.p__Spirochaetota	-6.796343079463297	0
Sg.M.HC.4.16S	d__Bacteria.p__Acidobacteriota	-4.459199850654187	0
Sg.M.HC.4.16S	d__Bacteria.p__Deferribacterota	-7.202411275894697	0
Sg.M.HC.5.16S	d__Bacteria.p__Firmicutes	4.757585074298975	0
Sg.M.HC.5.16S	d__Bacteria.p__Bacteroidota	0.9256113247077435	0
Sg.M.HC.5.16S	d__Bacteria.p__Proteobacteria	9.906241666292605	0
Sg.M.HC.5.16S	d__Bacteria.p__Desulfobacterota	0.34627342025328156	0
Sg.M.HC.5.16S	d__Bacteria.p__Actinobacteriota	4.688592202812023	0
Sg.M.HC.5.16S	d__Bacteria.p__Cyanobacteria	-2.470218280802362	0
Sg.M.HC.5.16S	d__Bacteria.p__Campilobacterota	4.447430145995135	0
Sg.M.HC.5.16S	d__Bacteria.p__Verrucomicrobiota	0.3009332534201419	0
Sg.M.HC.5.16S	d__Bacteria.__Unassaigned	-3.439670677085143	0
Sg.M.HC.5.16S	d__Bacteria.p__Spirochaetota	-7.131284387423369	0
Sg.M.HC.5.16S	d__Bacteria.p__Acidobacteriota	-4.794141158614259	0
Sg.M.HC.5.16S	d__Bacteria.p__Deferribacterota	-7.537352583854769	0
Sg.M.HC.6.16S	d__Bacteria.p__Firmicutes	6.488942597638451	0
Sg.M.HC.6.16S	d__Bacteria.p__Bacteroidota	5.60163940263755	0
Sg.M.HC.6.16S	d__Bacteria.p__Proteobacteria	7.104169000644473	0
Sg.M.HC.6.16S	d__Bacteria.p__Desulfobacterota	0.7806249678168602	0
Sg.M.HC.6.16S	d__Bacteria.p__Actinobacteriota	3.1949140503909064	0
