index	names	Stomach	Swab
Sg.M.E.1.16S	d__Bacteria.p__Firmicutes	5.307849369852774	0
Sg.M.E.1.16S	d__Bacteria.p__Bacteroidota	5.622560114692475	0
Sg.M.E.1.16S	d__Bacteria.p__Proteobacteria	4.9492155614287086	0
Sg.M.E.1.16S	d__Bacteria.p__Desulfobacterota	2.403684289824274	0
Sg.M.E.1.16S	d__Bacteria.p__Actinobacteriota	-1.5679445941039862	0
Sg.M.E.1.16S	d__Bacteria.p__Cyanobacteria	-1.9199539852485619	0
Sg.M.E.1.16S	d__Bacteria.p__Campilobacterota	4.1954437590523295	0
Sg.M.E.1.16S	d__Bacteria.p__Verrucomicrobiota	1.7105371092643287	0
Sg.M.E.1.16S	d__Bacteria.__Unassaigned	-2.889406381531343	0
Sg.M.E.1.16S	d__Bacteria.p__Spirochaetota	-6.581020091869569	0
Sg.M.E.1.16S	d__Bacteria.p__Acidobacteriota	-4.243876863060459	0
Sg.M.E.1.16S	d__Bacteria.p__Deferribacterota	-6.98708828830097	0
Sg.M.E.2.16S	d__Bacteria.p__Firmicutes	5.919716470486312	0
Sg.M.E.2.16S	d__Bacteria.p__Bacteroidota	5.8019334348299285	0
Sg.M.E.2.16S	d__Bacteria.p__Proteobacteria	5.280636511196642	0
Sg.M.E.2.16S	d__Bacteria.p__Desulfobacterota	1.2130061772494054	0
Sg.M.E.2.16S	d__Bacteria.p__Actinobacteriota	-0.9766480995886506	0
Sg.M.E.2.16S	d__Bacteria.p__Cyanobacteria	-1.3286574907332258	0
Sg.M.E.2.16S	d__Bacteria.p__Campilobacterota	1.2129998450838027	0
Sg.M.E.2.16S	d__Bacteria.p__Verrucomicrobiota	1.2132187981767846	0
Sg.M.E.2.16S	d__Bacteria.__Unassaigned	-2.298109887016007	0
Sg.M.E.2.16S	d__Bacteria.p__Spirochaetota	-5.989723597354233	0
Sg.M.E.2.16S	d__Bacteria.p__Acidobacteriota	-3.6525803685451232	0
Sg.M.E.2.16S	d__Bacteria.p__Deferribacterota	-6.395791793785634	0
Sg.M.E.3.16S	d__Bacteria.p__Firmicutes	7.429439316064995	0
Sg.M.E.3.16S	d__Bacteria.p__Bacteroidota	7.172443054316658	0
Sg.M.E.3.16S	d__Bacteria.p__Proteobacteria	5.200557418858084	0
Sg.M.E.3.16S	d__Bacteria.p__Desulfobacterota	0.4397799043509021	0
Sg.M.E.3.16S	d__Bacteria.p__Actinobacteriota	-1.0567271919272085	0
Sg.M.E.3.16S	d__Bacteria.p__Cyanobacteria	-1.4087365830717837	0
Sg.M.E.3.16S	d__Bacteria.p__Campilobacterota	0.43977357218529933	0
Sg.M.E.3.16S	d__Bacteria.p__Verrucomicrobiota	0.43999252527828125	0
