OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
c8c201cf669c528f272fad7379a025bb,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Anaerotruncus, s__Anaerotruncus_sp.
fafa4ce975c89cd56e144a9c9fef87de,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Uncultured, s__uncultured_bacterium
e793a5b73b02b30aedfde40dc3a182f1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter, s__Unassaigned
8dd8bc46e5dccd1cd39ec5888b89d715,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
6a73f683bf96f4ffdd3daca8375c29f9,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__[Eubacterium]_fissicatena_group, s__Unassaigned
24a0a132d22a3a27285f59c0f1aafa4c,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Uncultured, s__uncultured_organism
b2ffd37f3c9fe137a46985d36ea7c053,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__dgA-11_gut_group, s__uncultured_bacterium
794393090cfb64ff965da40aae51f9d5,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Unassigned, s__Unassaigned
2e3f176ae8c669fe89c79b560b1c3189,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Uncultured, s__Clostridiaceae_bacterium
8fc3f24e0886fc6e560f4f1d9d160d0a,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Dielma, s__Dielma_fastidiosa
88ab2cd29ffd1301e72c8be1e99cab8b,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Catenibacillus, s__uncultured_bacterium
fb3d50dfbf4f31a0e858d084f82adc99,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
edc67762ad04bac62d7de872b214bbe7,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnoclostridium, s__Unassaigned
090a3fbe82832d8232730978a315fd83,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
146ccc7623ff3aa720c05d61125a6bc9,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter, s__uncultured_bacterium
e6d9fe4bfdd2114788308701911d6a9e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Rikenellaceae, s__uncultured_Rikenella
f0e5d2a5bde61e4bcd25ea452859514d,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
7575b9d44ae9b9f482ba28f093027879,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii
c60cf2a6c2498f32af660492f7517918,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii
2356e68432cd80eea65bbce2264e04eb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__uncultured_bacterium
526f6d5fa8c65ba7141c0b768195a0a5,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Incertae_Sedis, s__uncultured_bacterium
f30fcff7aa05e31a64283dcf83b7ddd8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
706eee6d9933a74492d0f228c5adbaea,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Butyricicoccaceae, g__UCG-008, s__uncultured_bacterium
bab4bde0b1dcb8e6d0a09f39951077b5,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Unassigned, s__Unassaigned
522fe79f191b161734f6dae66246dd0f,d__Bacteria, p__Firmicutes, c__Bacilli, o__RF39, f__RF39, g__RF39, s__Unassaigned
4d2db3d4a09e65b6385a74e2105c5097,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_vadinBB60_group, f__Clostridia_vadinBB60_group, g__Clostridia_vadinBB60_group, s__uncultured_bacterium
dc483423b4652f68eb84087d99ba412e,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Orbales, f__Orbaceae, g__Gilliamella, s__uncultured_gamma
071c6331257e5c2840dc073af3f1139e,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
d0557af7bb5178c8f3aff798c76c1eff,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
e541825ce8b86c18c3108e8dc20a1675,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__Unassaigned
aa40ba3a550577ed8b40f150d7f294f5,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter, s__uncultured_bacterium
e5c57220db542d1fa35c9e7cf1105a74,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Blautia, s__Unassaigned
