index,Phylum,Feces,Stomach
Sg.M.H.1.16S,Proteobacteria,4.705074227,2.269327153
Sg.M.H.1.16S,Firmicutes,5.946762885,5.092061359
Sg.M.H.1.16S,Bacteroidetes,6.230220329,5.16404949
Sg.M.H.1.16S,Actinobacteria,-3.217021005,-1.63011707
Sg.M.H.1.16S,Tenericutes,0.378736498,-4.833028495
Sg.M.H.1.16S,Cyanobacteria,-0.02672861,-1.224651962
Sg.M.H.1.16S,Unclassified,-3.883836266,0.567107507
Sg.M.H.1.16S,Acidobacteria,-5.930459702,-6.766571871
Sg.M.H.1.16S,Unclassified,-5.593085764,-0.574064396
Sg.M.H.1.16S,Verrucomicrobia,1.39033741,1.935888286
Sg.M.H.10.16S,Proteobacteria,5.861961769,8.898920792
Sg.M.H.10.16S,Firmicutes,6.28869917,4.77463935
Sg.M.H.10.16S,Bacteroidetes,5.94854871,4.321877528
Sg.M.H.10.16S,Actinobacteria,-3.573467929,-2.244294441
Sg.M.H.10.16S,Tenericutes,-3.586086959,1.810995391
Sg.M.H.10.16S,Cyanobacteria,-3.571108334,-2.746941468
Sg.M.H.10.16S,Unclassified,-3.560572227,-2.934231104
Sg.M.H.10.16S,Acidobacteria,-3.496005423,-4.98085454
Sg.M.H.10.16S,Unclassified,-3.508833915,-4.643480602
Sg.M.H.10.16S,Verrucomicrobia,3.196865139,-2.256630906
Sg.M.H.2.16S,Proteobacteria,4.89509219,3.655665405
Sg.M.H.2.16S,Firmicutes,6.587317011,3.701788012
Sg.M.H.2.16S,Bacteroidetes,6.084222665,2.343479016
Sg.M.H.2.16S,Actinobacteria,-2.858245464,0.014576615
Sg.M.H.2.16S,Tenericutes,-2.870864494,5.275538195
Sg.M.H.2.16S,Cyanobacteria,-2.855885869,-4.72533998
Sg.M.H.2.16S,Unclassified,-2.845349762,0.638730924
Sg.M.H.2.16S,Acidobacteria,-4.140806833,-6.959253052
Sg.M.H.2.16S,Unclassified,-3.803432896,-0.128524229
Sg.M.H.2.16S,Verrucomicrobia,1.807953451,-3.816660905
Sg.M.H.3.16S,Proteobacteria,3.295480175,4.296010079
Sg.M.H.3.16S,Firmicutes,7.420331645,4.766277944
Sg.M.H.3.16S,Bacteroidetes,6.145787952,2.555755298
Sg.M.H.3.16S,Actinobacteria,-3.485251601,2.088158409
Sg.M.H.3.16S,Tenericutes,1.703136696,6.615574932
Sg.M.H.3.16S,Cyanobacteria,-3.482892006,-4.513063698
Sg.M.H.3.16S,Unclassified,-3.472355899,0.334139267
Sg.M.H.3.16S,Acidobacteria,-5.740418849,-6.74697677
Sg.M.H.3.16S,Unclassified,-5.403044911,-6.409602832
Sg.M.H.3.16S,Verrucomicrobia,3.019226798,-2.986272629
Sg.M.H.4.16S,Proteobacteria,6.50838163,3.784338233
Sg.M.H.4.16S,Firmicutes,6.480090224,4.050734915
Sg.M.H.4.16S,Bacteroidetes,4.620876452,1.298440012
Sg.M.H.4.16S,Actinobacteria,0.245119431,-0.01148137
Sg.M.H.4.16S,Tenericutes,-3.517407782,3.982663627
Sg.M.H.4.16S,Cyanobacteria,-3.502429157,-0.829791694
Sg.M.H.4.16S,Unclassified,-3.49189305,-0.087854349
Sg.M.H.4.16S,Acidobacteria,-4.681855615,-0.797001871
Sg.M.H.4.16S,Unclassified,-4.344481678,-8.257670716
Sg.M.H.4.16S,Verrucomicrobia,1.683599545,-3.132376787
Sg.M.H.5.16S,Proteobacteria,3.416994759,8.443798755
Sg.M.H.5.16S,Firmicutes,7.169472199,4.553350697
Sg.M.H.5.16S,Bacteroidetes,6.531892238,4.647582322
Sg.M.H.5.16S,Actinobacteria,-3.178653028,-2.090889645
Sg.M.H.5.16S,Tenericutes,0.76541117,1.728011409
Sg.M.H.5.16S,Cyanobacteria,-3.176293433,-2.715221396
Sg.M.H.5.16S,Unclassified,-3.165757325,-2.902511032
Sg.M.H.5.16S,Acidobacteria,-5.618904265,-4.949134468
Sg.M.H.5.16S,Unclassified,-5.281530327,-4.611760531
Sg.M.H.5.16S,Verrucomicrobia,2.537368011,-2.10322611
Sg.M.H.6.16S,Proteobacteria,3.924973025,3.526736798
Sg.M.H.6.16S,Firmicutes,6.902883334,6.440032196
Sg.M.H.6.16S,Bacteroidetes,6.523937777,6.525507928
Sg.M.H.6.16S,Actinobacteria,-3.435853071,-2.870009168
Sg.M.H.6.16S,Tenericutes,-3.4484721,-2.341665213
Sg.M.H.6.16S,Cyanobacteria,-0.022417125,-3.275249154
Sg.M.H.6.16S,Unclassified,-3.422957368,-0.52504815
Sg.M.H.6.16S,Acidobacteria,-5.110925999,-5.509162226
Sg.M.H.6.16S,Unclassified,-4.773552061,-5.171788288
Sg.M.H.6.16S,Verrucomicrobia,2.862383588,3.200645277
