index,Phylum,Swab,Small intestine
Sg.M.HC.1.16S,Proteobacteria,9.805527448,2.515357886
Sg.M.HC.1.16S,Firmicutes,3.466050368,6.262414355
Sg.M.HC.1.16S,Bacteroidetes,1.648983837,6.349349148
Sg.M.HC.1.16S,Actinobacteria,5.768635461,-3.632445569
Sg.M.HC.1.16S,Tenericutes,-0.1575613,-3.645064599
Sg.M.HC.1.16S,Cyanobacteria,-3.802521726,-4.286628065
Sg.M.HC.1.16S,Unclassified,-3.989811361,-0.123699443
Sg.M.HC.1.16S,Acidobacteria,-6.036434798,-6.520541137
Sg.M.HC.1.16S,Unclassified,-5.69906086,-0.442153174
Sg.M.HC.1.16S,Verrucomicrobia,-1.003807069,3.523410598
Sg.M.HC.10.16S,Proteobacteria,5.875638859,9.301299849
Sg.M.HC.10.16S,Firmicutes,4.829495198,4.013798339
Sg.M.HC.10.16S,Bacteroidetes,5.596518914,3.174047685
Sg.M.HC.10.16S,Actinobacteria,-2.419082709,-3.489531325
Sg.M.HC.10.16S,Tenericutes,-2.431701739,1.615903067
Sg.M.HC.10.16S,Cyanobacteria,-2.416723114,-3.894771311
Sg.M.HC.10.16S,Unclassified,-2.406187007,3.191439427
Sg.M.HC.10.16S,Acidobacteria,-4.672989968,-6.128684383
Sg.M.HC.10.16S,Unclassified,-4.33561603,-5.791310445
Sg.M.HC.10.16S,Verrucomicrobia,2.380647598,-1.992190902
Sg.M.HC.2.16S,Proteobacteria,7.69205183,3.378087495
Sg.M.HC.2.16S,Firmicutes,4.953212092,6.543350223
Sg.M.HC.2.16S,Bacteroidetes,-0.898095077,5.78310429
Sg.M.HC.2.16S,Actinobacteria,3.627021655,-1.285351599
Sg.M.HC.2.16S,Tenericutes,-0.897645609,0.794089942
Sg.M.HC.2.16S,Cyanobacteria,-2.315360001,-3.492455146
Sg.M.HC.2.16S,Unclassified,-2.502649637,-1.690816707
Sg.M.HC.2.16S,Acidobacteria,-4.549273073,-5.657811529
Sg.M.HC.2.16S,Unclassified,-4.211899136,-5.320437591
Sg.M.HC.2.16S,Verrucomicrobia,-0.897363045,0.948240622
Sg.M.HC.3.16S,Proteobacteria,8.465578721,3.84719413
Sg.M.HC.3.16S,Firmicutes,-1.267756851,7.396657564
Sg.M.HC.3.16S,Bacteroidetes,-1.267748305,7.416726826
Sg.M.HC.3.16S,Actinobacteria,1.465608958,-3.442735595
Sg.M.HC.3.16S,Tenericutes,-1.267298837,0.227307547
Sg.M.HC.3.16S,Cyanobacteria,-1.252320213,-3.847975581
Sg.M.HC.3.16S,Unclassified,-1.241784105,-4.035265217
Sg.M.HC.3.16S,Acidobacteria,-1.177217301,-6.081888653
Sg.M.HC.3.16S,Unclassified,-1.190045793,-5.744514715
Sg.M.HC.3.16S,Verrucomicrobia,-1.267016273,4.264493695
Sg.M.HC.4.16S,Proteobacteria,9.982391595,3.972637017
Sg.M.HC.4.16S,Firmicutes,4.848906757,5.767560045
Sg.M.HC.4.16S,Bacteroidetes,0.392782896,5.837689352
Sg.M.HC.4.16S,Actinobacteria,-2.014425351,-0.861918072
Sg.M.HC.4.16S,Tenericutes,0.393232364,0.502397382
Sg.M.HC.4.16S,Cyanobacteria,-2.419665337,-0.500904727
Sg.M.HC.4.16S,Unclassified,-2.606954973,-5.095367439
Sg.M.HC.4.16S,Acidobacteria,-4.653578409,-5.806798817
Sg.M.HC.4.16S,Unclassified,-4.316204471,-5.043629127
Sg.M.HC.4.16S,Verrucomicrobia,0.393514928,1.228334386
Sg.M.HC.5.16S,Proteobacteria,9.197052563,8.765906329
Sg.M.HC.5.16S,Firmicutes,4.0441464,5.0640382
Sg.M.HC.5.16S,Bacteroidetes,0.212176848,4.45361186
Sg.M.HC.5.16S,Actinobacteria,3.975153528,-2.347598448
Sg.M.HC.5.16S,Tenericutes,0.212626316,1.328201763
Sg.M.HC.5.16S,Cyanobacteria,-3.224425694,-2.345238853
Sg.M.HC.5.16S,Unclassified,-3.41171533,-2.934371001
Sg.M.HC.5.16S,Acidobacteria,-5.458338766,-4.980994437
Sg.M.HC.5.16S,Unclassified,-5.120964828,-4.6436205
Sg.M.HC.5.16S,Verrucomicrobia,-0.425711038,-2.359934913
Sg.M.HC.6.16S,Proteobacteria,6.221993411,3.828752353
Sg.M.HC.6.16S,Firmicutes,5.601400705,6.023250418
Sg.M.HC.6.16S,Bacteroidetes,4.71409751,6.351006542
Sg.M.HC.6.16S,Actinobacteria,2.307372158,-0.886922987
Sg.M.HC.6.16S,Tenericutes,-3.628282081,-0.653308136
Sg.M.HC.6.16S,Cyanobacteria,-3.613303456,0.193989724
Sg.M.HC.6.16S,Unclassified,-3.602767348,-3.138214786
Sg.M.HC.6.16S,Acidobacteria,-4.600184234,-6.962504336
Sg.M.HC.6.16S,Unclassified,-4.262810296,-6.625130398
Sg.M.HC.6.16S,Verrucomicrobia,0.862483632,1.869081607
