#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
7d274bd0eef7027957b199cf79596971	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
17e497268176c8833665b4e7e49d4611	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
e389ca68fd1eb42c5c6e0766c3769f26	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__AF12	 s__
e4f587a31747b65f06b8b3d04ae2263e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
5fae701def594df66f61c4fa30f25f27	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__[Eubacterium]	 s__dolichum
27907d47e5be2a5285313f0bb81add58	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
7a2db98e8c94c44f3195e24235011fc5	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
7aebec4e33650d0ac57fe723a94c2c66	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
b05a5926f97371e7f5ed06b7c299b548	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
bb3612d6c6262d47b07470175f2afc84	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium	 s__perfringens
7575b9d44ae9b9f482ba28f093027879	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
bee2410e590adb5ca3f8483f74f2786f	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Dorea	 s__
572eb409c8150a31dfd52ebfa72d8e15	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
dfefd1601becbc23d361edaeaacc9b13	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
44fcb19ae3f14ac18011f50d834a8889	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
f0a134d3b512c8bf5408898edc18fdec	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
427fbb98d599d2ccdb794a4804a68709	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
28817c168fec076cefcab87ec54fd0a2	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
2215fda718f2798e7e94648af4e01b1c	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Eubacteriaceae	 g__Pseudoramibacter_Eubacterium	 s__
377ff3ff9fbf22a06fd866a79e43cd88	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
4405cb6204059bb276501fce1c673f36	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__[Mogibacteriaceae]	 g__	 s__
0693e53ee44b21d04dcdccde50333172	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
0cf5633d0acee262e87da3db80a9baaf	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
19c88c43cefc0efae399898111815666	k__Bacteria	Actinobacteria	 c__Actinobacteria	 o__Actinomycetales	 f__Micrococcaceae	 g__Kocuria	 s__
1d0f4ddd857e20436e273377def48d1d	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Clostridium	 s__lavalense
4e44c40ec88103ebb8cf8af36ecf1289	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
32019c66790172c71844e2b0a681de98	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
7a0064ba5ceca7eed2a45cd79876f5d2	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	 s__
b0572543f63bdf0c0bef8bcec5fc20cc	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
e3a852efed8e8d5eedf191ab3dca82ea	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Anaerotruncus	 s__
f292af08063c1ecf4c4f1a56192cba5a	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
12a0ad84259c089c23615284b45e6738	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
7f97c226c894d72704dcc00bc62a6409	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
9b87e80986c0de2603e1db2ba4a81e09	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
ba770a970df4e80a1d0a3e3d9b33bfa1	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
fbf3c5b21400f08273beb8d47cfa8950	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
1de7c6a74da34f1ec346a5e8f25da477	k__Bacteria	Proteobacteria	 c__Deltaproteobacteria	 o__Desulfovibrionales	 f__Desulfovibrionaceae	 g__Bilophila	 s__
95d5c26e5a939615d46e26659e68afcb	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
9e7a03969b2ce93aef4cf07892d8ca81	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__EtOH8	 g__	 s__
ffe8a4e4d29663d84bc20fece48d5047	k__Bacteria	Tenericutes	 c__Mollicutes	 o__RF39	 f__	 g__	 s__
5a69db35c4767ab50e20c5f41a6e430f	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
f53720fefc0162657083dee3915b797e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
ff1c787b304be626ab94f6997d599013	k__Bacteria	Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Leuconostocaceae	 g__Fructobacillus	 s__
0ce0443eb9dbc8679558c978108b5208	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
50fe6207dec5ee65a8e668d944b6faf9	k__Bacteria	Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__
e5c57220db542d1fa35c9e7cf1105a74	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Blautia	 s__
3e752dfb7795ab0109be85ab67dd19a7	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
970aa8462e3c7ba056ee797b32be681b	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
8143733af89ff04fee2f8060b52d4165	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
cc49123a78b741b8718c09063e705069	k__Bacteria	Tenericutes	 c__Mollicutes	 o__RF39	 f__	 g__	 s__
09fd9824c737c896debc3b471425bf9f	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
8edd3c96e1201a6d99272f35ce2c164f	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
d08982a97786631332bddb0acc34c414	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
1928e2deabf0f50bc5e216e235cc487b	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
6fccfd872b46e650eb693b1d2e80a363	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	 s__johnsonii
8fc3f24e0886fc6e560f4f1d9d160d0a	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
01edd53eeb2aab1dcd71b4f1f55d05a4	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
571e183929f49d4a30051114fc692ae4	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
895d621b123443fb8c42d1e0aa7d03de	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
d582a7448037a55387ba0ce001f69a93	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
35175c044df8ae95f804b7b93b82225f	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
