"q0"	"q1"	"q2"
"Sg.M.E.1.16S"	18	14.0701097865822	11.6328885683375
"Sg.M.E.2.16S"	5	4.82963992412176	4.69832402234637
"Sg.M.E.3.16S"	34	27.2306632630736	22.4809300428309
"Sg.M.H.1.16S"	95	59.9031355741308	37.8847509104044
"Sg.M.H.2.16S"	98	61.7267489521411	41.8216683782289
"Sg.M.H.3.16S"	120	52.4652908877158	31.060260120803
"Sg.M.HC.1.16S"	12	2.55311259677283	1.70502709505606
"Sg.M.HC.2.16S"	129	76.4566101335677	46.5241233545263
"Sg.M.HC.3.16S"	28	2.75299879621999	1.48198310513538
"Sg.M.I.1.16S"	20	14.704778385835	10.6248119430621
"Sg.M.I.2.16S"	24	18.2555014832343	14.6655250187954
"Sg.M.I.3.16S"	28	20.4447299861379	16.6420481735524
"Sg.M.R.1.16S"	154	96.7575090421582	66.8154968779609
"Sg.M.R.2.16S"	135	71.1104311763239	44.9535770352097
"Sg.M.R.3.16S"	130	74.5245248086745	45.9964723643554
"Sg.M.HC.10.16S"	59	24.3792892339455	13.2800045486775
"Sg.M.HC.4.16S"	10	4.37036381297571	3.34415124887654
"Sg.M.HC.5.16S"	10	4.01978572495656	3.39348384401513
"Sg.M.HC.6.16S"	101	21.08351027922	9.58415348590728
"Sg.M.HC.7.16S"	3	1.05012030564137	1.01498613099712
"Sg.M.HC.8.16S"	7	3.10726510290346	2.96031767987857
"Sg.M.HC.9.16S"	7	3.69628330526413	3.03016311267552
"Sg.M.H.10.16S"	165	65.6958380622966	34.7364392672886
"Sg.M.H.4.16S"	107	29.9369028536049	15.1675304424429
"Sg.M.H.5.16S"	173	64.5473358707787	20.2914494695904
"Sg.M.H.6.16S"	165	60.7411617598265	25.2420189863576
"Sg.M.H.7.16S"	188	84.5153810430566	46.6538333266043
"Sg.M.H.8.16S"	232	67.8643570515083	20.2191802775932
"Sg.M.H.9.16S"	140	60.7864008664068	37.1076346117997
"Sg.M.E.10.16S"	181	87.302702231066	41.8729904197855
"Sg.M.E.4.16S"	42	2.60822256295026	2.16614683937648
"Sg.M.E.5.16S"	49	5.97218612076278	2.30697239162316
"Sg.M.E.6.16S"	31	3.34552073097041	1.75612391476069
"Sg.M.E.7.16S"	79	22.800516028472	11.9376158950363
"Sg.M.E.8.16S"	37	2.74784900756445	2.2069235393077
"Sg.M.E.9.16S"	96	53.4270964449122	29.4567326428624
"Sg.M.I.10.16S"	179	83.1752300256916	41.0880197334204
"Sg.M.I.4.16S"	25	2.2521730084552	2.06642562944139
"Sg.M.I.5.16S"	164	78.2619850874806	33.1732553531412
"Sg.M.I.6.16S"	134	69.4430649479152	36.7282791291122
"Sg.M.I.7.16S"	302	126.564358745117	64.3256624605691
"Sg.M.I.8.16S"	49	2.65249596501021	2.1706466090131
"Sg.M.I.9.16S"	305	106.684813948393	55.7115854568139
"Sg.M.R.10.16S"	281	104.500188871733	43.6367814374664
"Sg.M.R.4.16S"	44	7.97673718660846	5.31334246510872
"Sg.M.R.5.16S"	241	99.6056762833938	42.0853674247063
"Sg.M.R.6.16S"	284	87.7508072834871	35.4278149251847
"Sg.M.R.7.16S"	338	124.412229879566	63.0639581754664
"Sg.M.R.8.16S"	257	98.4663830175377	35.5320080844079
"Sg.M.R.9.16S"	264	99.1531781866114	52.6753786591397
